PID,Pred_Sequence
1,"[[100], [115], [98], [], [], [], [], [], [], [], [], [], [], [13], [], [48], [78], [115], [48], [], [78], [], [100], [], [], [], [115], [78], [48], [], [78], [48], [], [], [], [], [], [], [], [], [98], [], [78], [], [], [13], [], [], [], [], [], [], [115], [], [48], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [100], [115], [78], [48], [], [98], [13], [], [13], [], [], [], [], [], [115], [78], [48], [], [98], [], [78], [48], [], [], [], [115]]"
2,[[0]]
3,"[[], [], [], [78], [], [], [], [], [100], [], [78], [115], [48], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [48], [], [], [98], [13], [], [], [], [98], [], [], [115], [], [], [], [], [], [], [], [], [], [], [78], [48], [78], [], [], [], [], [100], [115], [78], [48], [98], [78], [48], [], [], [], [115], [13], [13], [], [13], [13], [13], [13], [], [], [13]]"
4,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [97], [97], [97], [97], [97], [119], [48], [], [97], [97], [97], [48], [97], [], [], [97], [97], [97], [119], [48], [], [97], [97], [97], [], [97], [], [], [], [97], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [97], [97], [], [48], [119], [97], [97], [97], [97], [], [48], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [97], [13], [], [13], [48], [97], [], [119], [97], [97], [97], [97], [119], [48], [], [13], [97], [97], [97], [48], [13], [13], [13], [13], [13], [13], [], [], [], [97], [13], [97], [13], [48], [13], [], [13], [97], [48], [119], [97], [97], [97], [], [], [13], [119], [], [], [], [97], [], [], [], [], [], [], [13], [], [], [], [], [], [], [], []]"
5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [97], [97], [], [119], [13], [], [], [48], [], [], [], [], [], [], [], [], [], [], [], [], [13], [13], [], [], [], [], [], [], [], [], [], [13], [], [], [], [], [], [], [13], [13], [13], [13], [], [], [13], [], [13], [13], [13], [13], [13], [], [97], [97], [], [97], [119], [13], [], [], [97], [97], [97], [97], [119], [13], [], [], [], [], [13], [], [], [13], [], [], [], [97], [48], [13], [], [48], [119], [97], [97], [97], [97], [], [13], [97], [], [13], [13], [], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [119], [48], [], [97], [97], [48], [97], [], [97], [13], [], [], [], [], [], [], [], [13], []]"
6,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [13], [13], [13], [], [], [], [], [], [], [], [], [2], [48], [97], [2], [78], [48], [13], [93], [97], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [13], [13], [97], [13], [13], [78], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
7,[[0]]
8,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [97], [], [97], [97], [97], [48], [13], [13], [13], [13], [13], [119], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [48], [97], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [97], [119], [48], [13], [13], [], [], [97], [], [97], [97], [], [], [], [], [], [13], [], [13], [13], [13], [], [], [], [], [], [], [], [], [], [], [97], [], [48], [97], [97], [97], [97], [], [13], [119], [], [], [], [], [], [], [], [], [48], [], [], [119], [97], [13], [97], [13], [13], [13], [97], [119], [97], [97], [97], [97], [48]]"
9,"[[84], [], [], [], [], [], [19], [], [101], [], [], [], [29], [129], [], [134], [49], [38], [124], [], [30], [29], [30], [], [29], [], [], [5], [], [20], [29], [5], [134], [], [30], [5], [5], [57], [], [29], [38], [30]]"
10,[[0]]
11,"[[], [5], [], [], [], [], [30], [5], [], [], [38], [5], [57], [29], [], [29], [], [134], [30], [30], [], [], [], [], [], [29], [], [38], [124], [101], [84], [], [38], [30], [134], [], [29], [20], [5], [38], [6], [8]]"
12,"[[119], [48], [], [], [13], [], [48], [48], [119], [115], [100], [], [13], [119], [], [], [13], [78], [78], [115], [98], [115], [48], [48], [], [50], [48], [78], [115], [48], [78], [], [], [], [100], [119], [100], [115], [], [78], [], [115], [98], [13], [115], [78], [107], [48], [78], [48], [], [115], [], [], [], [13], [13], [98], []]"
13,[[0]]
14,"[[], [], [89], [], [124], [], [127], [57], [89], [152], [152], [149], [149], [6], [], [], [152], [149], [89], [], [], [], [101], [40], [], [], [], [], [147], [104], [104], [20], [127], [8], [], [152], [149], [89], [104], [40], [152], [104]]"
15,"[[111], [147], [127], [], [129], [], [149], [], [104], [40], [124], [], [149], [89], [57], [101], [], [], [], [], [], [], [104], [], [152], [104], [], [13], [], [], [], [13], [13], [48], [119], [13], [13], [13], [127], [13], [], [19], [40], [89], [149], [], [8], [152], [149], [89], [], [6], [152], [20], []]"
16,[[0]]
17,[[0]]
18,"[[97], [97], [], [], [], [13], [13], [], [], [], [], [97], [], [], [], [], [], [], [97], [13], [97], [13], [48], [13], [], [97], [97], [97], [97], [], [], [13], [119], [97], [13], [], [13], [13], [13], [13], [13], [13], [], [48], [119], [97], [13], [97], [97], [], [119], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [], [97], [48], [13], [119], [97], [97], [97], [97], [], [13], [13], [], [13], [13], [13], [97], [13], [13], [13], [], [97], [97], [97], [], [48], [119], [], [13], [13], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [13], [13], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [48], [97], [], [], [100], [115], [], [78], [48], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [119], [48], [], [], [13], [119], [], [115], [100], [48], [97], [97], [97], [97], [97], [48], [119], [119], [48], [], [100], [115], [78], [48], [97], [97], [], [], [13], [], [], [78], [], [], [], [], [], [], [], [], [], [], [13], [13], [97], [97], [97], [97], [], [48], [13], [13], [13], [13], [13], [13], [], [], [97], [97], [97], [], [97], [115], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [13], [], [78], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [100], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], []]"
19,"[[], [], [], [119], [], [], [], [], [], [], [], [13], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [13], [13], [], [], [97], [119], [48], [], [13], [13], [], [13], [13], [13], [13], [], [13], [], [119], [13], [13], [97], [97], [13], [13], [13], [13], [13], [13], [48], [97], [97], [97], [97], [97], [], [48], [119], [97], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [119], [97], [97], [97], [97], [97], [97], [119], [48], [], [97], [97], [97], [], [], [], [], [13], [], [], [], [], [], [], [], [], [], [], [], [13], [], [13], [], [], [13], [13], [13], [119], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [97], [48], [97], [], [48], [119], [97], [97], [], [97], [97], [], [], [48], [119], [97], [97], [48], [97], [97], [], [97], [], [], [], [], [], [], [48], [13], [], [], [], [], [], [97], [], [], [], [], [], [97], [], [], [], [], [], [], [], [], [], [], [97], [], [], [], [], []]"
20,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [48], [], [], [], [], [], [], [], [], [], [], [], [], [], [2], [], [], [], [], [78], [97], [13], [97], [13], [13], [13], [13], [13], [97], [13], []]"
